date,region,value
Oct-Dec 2019,London,999000
Jan-March 2022,London,632000
Oct-Dec 2019,South East,400000
Jan-March 2022,South East,284000
Oct-Dec 2019,East of England,209000
Jan-March 2022,East of England,186000
Oct-Dec 2019,South West,134000
Jan-March 2022,South West,121000
Oct-Dec 2019,East Midlands,150000
Jan-March 2022,East Midlands,118000
Oct-Dec 2020,North West,124000
Jan-March 2023,North West,108000
Oct-Dec 2021,West Midlands,151000
Jan-March 2024,West Midlands,127000
Oct-Dec 2022,Yorkshire & The Humber,125000
Jan-March 2025,Yorkshire & The Humber,100000
Oct-Dec 2023,North East,28000
Jan-March 2026,North East,28000