Nation,Date,Cases by date per million
England,2021-02-09,28.19328478
England,2021-02-08,194.6704566
England,2021-02-07,172.6772073
England,2021-02-06,182.1282643
England,2021-02-05,246.7400959
England,2021-02-04,285.6990584
England,2021-02-03,309.2378753
England,2021-02-02,313.7857524
England,2021-02-01,358.1097886
England,2021-01-31,244.3950968
England,2021-01-30,266.4771718
England,2021-01-29,350.2931249
England,2021-01-28,388.8079588
England,2021-01-27,413.6969266
England,2021-01-26,435.210517
England,2021-01-25,482.8388701
England,2021-01-24,275.3952745
England,2021-01-23,353.7573281
England,2021-01-22,479.2325457
England,2021-01-21,511.9559424
England,2021-01-20,565.1625511
England,2021-01-19,640.1314621
England,2021-01-18,724.5869604
England,2021-01-17,466.0685735
England,2021-01-16,491.6326168
England,2021-01-15,654.0060401
England,2021-01-14,685.2371647
England,2021-01-13,731.9772606
England,2021-01-12,794.7948126
England,2021-01-11,925.2620359
England,2021-01-10,583.8337182
England,2021-01-09,629.6677918
England,2021-01-08,752.7447149
England,2021-01-07,832.7056316
England,2021-01-06,912.2224196
England,2021-01-05,1032.066086
England,2021-01-04,1227.926808
England,2021-01-03,880.0675076
England,2021-01-02,962.7642565
England,2021-01-01,501.2613253
England,2020-12-31,829.2947238
England,2020-12-30,1117.658554
England,2020-12-29,1288.417126
England,2020-12-28,711.1742761
England,2020-12-27,754.3080476
England,2020-12-26,651.7853971
England,2020-12-25,225.1376799
England,2020-12-24,510.2504885
England,2020-12-23,669.8703144
England,2020-12-22,726.9852549
England,2020-12-21,757.0438799
England,2020-12-20,514.354237
England,2020-12-19,386.2497779
England,2020-12-18,565.6599751
England,2020-12-17,525.8482857
England,2020-12-16,535.1394564
England,2020-12-15,517.303251
England,2020-12-14,524.4448392
England,2020-12-13,322.1353704
England,2020-12-12,284.9529224
England,2020-12-11,353.2421389
England,2020-12-10,329.8632084
England,2020-12-09,310.9788595
England,2020-12-08,296.4825013
England,2020-12-07,309.3622313
England,2020-12-06,193.622313
England,2020-12-05,180.8669391
England,2020-12-04,229.330254
England,2020-12-03,222.7749156
England,2020-12-02,238.9234322
England,2020-12-01,240.1669924
England,2020-11-30,267.3298987
England,2020-11-29,158.3940309
England,2020-11-28,163.4570972
England,2020-11-27,218.1737431
England,2020-11-26,218.0849174
England,2020-11-25,247.3441109
England,2020-11-24,249.2982768
England,2020-11-23,287.8841713
England,2020-11-22,178.4153491
England,2020-11-21,188.5237165
England,2020-11-20,261.0055072
England,2020-11-19,275.5018653
England,2020-11-18,323.805294
England,2020-11-17,361.5562267
England,2020-11-16,421.5491206
England,2020-11-15,252.7091846
England,2020-11-14,284.8818618
England,2020-11-13,384.7397406
England,2020-11-12,390.2291704
England,2020-11-11,437.9285841
England,2020-11-10,434.9085095
England,2020-11-09,499.2360988
England,2020-11-08,319.1330609
England,2020-11-07,295.3100018
England,2020-11-06,369.9769053
England,2020-11-05,370.8473974
England,2020-11-04,367.6852016
England,2020-11-03,396.4292059
England,2020-11-02,496.1627287
England,2020-11-01,237.5199858
England,2020-10-31,255.0719488
England,2020-10-30,349.1383905
England,2020-10-29,355.0008883
England,2020-10-28,359.6198259
England,2020-10-27,364.2742938
England,2020-10-26,404.4057559
England,2020-10-25,233.9136614
England,2020-10-24,240.1847575
England,2020-10-23,322.0110144
England,2020-10-22,348.5521407
England,2020-10-21,382.0927341
England,2020-10-20,379.1614852
England,2020-10-19,392.9294724
England,2020-10-18,210.6413217
England,2020-10-17,219.5594244
England,2020-10-16,258.6427429
England,2020-10-15,270.8651626
England,2020-10-14,292.3787529
England,2020-10-13,274.5247824
England,2020-10-12,287.8841713
England,2020-10-11,171.6290638
England,2020-10-10,180.4050453
England,2020-10-09,231.1422988
England,2020-10-08,271.3092912
England,2020-10-07,270.0834962
England,2020-10-06,254.0593356
England,2020-10-05,249.4936934
England,2020-10-04,174.6491384
England,2020-10-03,172.4817907
England,2020-10-02,205.6848463
England,2020-10-01,200.8882572
England,2020-09-30,186.9070883
England,2020-09-29,155.0008883
England,2020-09-28,152.4604726
England,2020-09-27,107.0527625
England,2020-09-26,100.4441286
England,2020-09-25,107.4435957
England,2020-09-24,111.8138213
England,2020-09-23,104.7077634
England,2020-09-22,95.31000178
England,2020-09-21,83.51394564
England,2020-09-20,82.19932492
England,2020-09-19,74.25830521
England,2020-09-18,75.92822882
England,2020-09-17,70.0124356
England,2020-09-16,66.63705809
England,2020-09-15,54.11263102
England,2020-09-14,51.51891988
England,2020-09-13,30.43169302
England,2020-09-12,39.31426541
England,2020-09-11,50.75501865
England,2020-09-10,55.10747913
England,2020-09-09,50.66619293
England,2020-09-08,53.41979037
England,2020-09-07,61.53846154
England,2020-09-06,36.6139634
England,2020-09-05,38.90566708
England,2020-09-04,46.04725529
England,2020-09-03,47.361876
England,2020-09-02,46.52691419
England,2020-09-01,34.25119915
England,2020-08-31,22.38408243
England,2020-08-30,17.3743116
England,2020-08-29,18.45798543
England,2020-08-28,24.55143009
England,2020-08-27,23.5210517
England,2020-08-26,20.21673477
England,2020-08-25,18.81328833
England,2020-08-24,20.09237875
England,2020-08-23,12.34677563
England,2020-08-22,12.68431338
England,2020-08-21,17.87173565
England,2020-08-20,21.69124178
England,2020-08-19,19.00870492
England,2020-08-18,16.43275893
England,2020-08-17,20.21673477
England,2020-08-16,9.379996447
England,2020-08-15,11.44075324
England,2020-08-14,18.42245514
England,2020-08-13,18.08491739
England,2020-08-12,19.47059869
England,2020-08-11,21.51359034
England,2020-08-10,24.01847575
England,2020-08-09,9.895185646
England,2020-08-08,11.29863208
England,2020-08-07,15.38461538
England,2020-08-06,17.39207675
England,2020-08-05,16.71700124
England,2020-08-04,16.32616806
England,2020-08-03,16.66370581
England,2020-08-02,9.09575413
England,2020-08-01,8.758216379
England,2020-07-31,11.08545035
England,2020-07-30,15.18919879
England,2020-07-29,17.26772073
England,2020-07-28,13.87457808
England,2020-07-27,14.38976728
England,2020-07-26,9.149049565
England,2020-07-25,8.740451235
England,2020-07-24,12.64878309
England,2020-07-23,13.02185113
England,2020-07-22,13.32385859
England,2020-07-21,12.2579499
England,2020-07-20,13.39491917
England,2020-07-19,7.337004797
England,2020-07-18,8.296322615
England,2020-07-17,9.717534198
England,2020-07-16,11.35192752
England,2020-07-15,12.86196483
England,2020-07-14,11.60063955
England,2020-07-13,12.22241961
England,2020-07-12,6.271096109
England,2020-07-11,7.443595665
England,2020-07-10,9.220110144
England,2020-07-09,12.0980636
England,2020-07-08,11.97370759
England,2020-07-07,9.930715935
England,2020-07-06,11.65393498
England,2020-07-05,9.57541304
England,2020-07-04,6.804050453
England,2020-07-03,9.50435246
England,2020-07-02,9.912950791
England,2020-07-01,10.73014745
England,2020-06-30,10.12613253
England,2020-06-29,11.81382128
England,2020-06-28,7.301474507
England,2020-06-27,8.935867827
England,2020-06-26,11.44075324
England,2020-06-25,11.33416237
England,2020-06-24,12.9330254
England,2020-06-23,12.95079055
England,2020-06-22,14.42529757
England,2020-06-21,9.788594777
England,2020-06-20,11.12098064
England,2020-06-19,14.40753242
England,2020-06-18,16.78806182
England,2020-06-17,16.1840469
England,2020-06-16,17.65855392
England,2020-06-15,16.73476639
England,2020-06-14,13.23503287
England,2020-06-13,13.92787351
England,2020-06-12,16.66370581
England,2020-06-11,16.27287262
England,2020-06-10,19.20412151
England,2020-06-09,18.81328833
England,2020-06-08,17.5341979
England,2020-06-07,11.77829099
England,2020-06-06,12.82643454
England,2020-06-05,18.10268254
England,2020-06-04,20.4299165
England,2020-06-03,22.11760526
England,2020-06-02,24.01847575
England,2020-06-01,23.3256351
England,2020-05-31,17.5341979
England,2020-05-30,17.7296145
England,2020-05-29,24.37377865
England,2020-05-28,27.94457275
England,2020-05-27,28.63741339
England,2020-05-26,25.84828566
England,2020-05-25,24.5158998
England,2020-05-24,21.3004086
England,2020-05-23,23.13021851
England,2020-05-22,31.90620004
England,2020-05-21,40.43346953
England,2020-05-20,41.69479481
England,2020-05-19,46.011725
England,2020-05-18,39.33203056
England,2020-05-17,28.21104992
England,2020-05-16,31.51536685
England,2020-05-15,37.87528868
England,2020-05-14,39.27873512
England,2020-05-13,51.19914727
England,2020-05-12,51.90975306
England,2020-05-11,54.48569906
England,2020-05-10,35.70794102
England,2020-05-09,31.83513946
England,2020-05-08,46.54467934
England,2020-05-07,56.8839936
England,2020-05-06,58.03872802
England,2020-05-05,55.78255463
England,2020-05-04,50.47077634
England,2020-05-03,46.72233079
England,2020-05-02,48.81861787
England,2020-05-01,72.65944217
England,2020-04-30,76.60330432
England,2020-04-29,84.04689998
England,2020-04-28,73.13910108
England,2020-04-27,71.5580032
England,2020-04-26,55.67596376
England,2020-04-25,59.93959851
England,2020-04-24,77.29614496
England,2020-04-23,81.00906022
England,2020-04-22,85.37928584
England,2020-04-21,70.6875111
England,2020-04-20,65.4112631
England,2020-04-19,61.78717357
England,2020-04-18,73.13910108
England,2020-04-17,72.26860899
England,2020-04-16,77.31391011
England,2020-04-15,74.91561556
England,2020-04-14,62.88861254
England,2020-04-13,61.05880263
England,2020-04-12,52.2828211
England,2020-04-11,54.41463848
England,2020-04-10,63.58145319
England,2020-04-09,72.0731924
England,2020-04-08,76.35459229
England,2020-04-07,81.11565109
England,2020-04-06,77.65144786
England,2020-04-05,54.71664594
England,2020-04-04,59.93959851
England,2020-04-03,72.48179073
England,2020-04-02,72.35743471
England,2020-04-01,73.28122224
England,2020-03-31,67.20554273
England,2020-03-30,62.53330965
England,2020-03-29,43.36471842
England,2020-03-28,42.06786285
England,2020-03-27,47.16645941
England,2020-03-26,46.3314976
England,2020-03-25,40.07816664
England,2020-03-24,36.08100906
England,2020-03-23,35.83229703
England,2020-03-22,21.42476461
England,2020-03-21,18.35139456
England,2020-03-20,19.20412151
England,2020-03-19,16.48605436
England,2020-03-18,16.11298632
England,2020-03-17,12.08029845
England,2020-03-16,9.682003908
England,2020-03-15,7.034997335
England,2020-03-14,5.596020608
England,2020-03-13,6.981701901
England,2020-03-12,7.354769941
England,2020-03-11,6.271096109
England,2020-03-10,4.032687866
England,2020-03-09,2.220643098
England,2020-03-08,0.888257239
England,2020-03-07,0.977082963
England,2020-03-06,1.296855569
England,2020-03-05,0.81719666
England,2020-03-04,0.870492095
England,2020-03-03,0.959317818
England,2020-03-02,0.675075502
England,2020-03-01,0.355302896
England,2020-02-29,0.088825724
England,2020-02-28,0.195416593
England,2020-02-27,0.124356014
England,2020-02-26,0.071060579
England,2020-02-25,0.088825724
England,2020-02-24,0.03553029
England,2020-02-23,0.017765145
England,2020-02-22,0
England,2020-02-21,0.017765145
England,2020-02-20,0
England,2020-02-19,0
England,2020-02-18,0
England,2020-02-17,0
England,2020-02-16,0
England,2020-02-15,0
England,2020-02-14,0
England,2020-02-13,0
England,2020-02-12,0
England,2020-02-11,0.017765145
England,2020-02-10,0
England,2020-02-09,0.017765145
England,2020-02-08,0.088825724
England,2020-02-07,0
England,2020-02-06,0
England,2020-02-05,0.017765145
England,2020-02-04,0.017765145
England,2020-02-03,0
England,2020-02-02,0.017765145
England,2020-02-01,0.017765145
England,2020-01-31,0.03553029
England,2020-01-30,0.03553029
Northern Ireland,2021-02-09,140.2116402
Northern Ireland,2021-02-08,202.6455026
Northern Ireland,2021-02-07,150.7936508
Northern Ireland,2021-02-06,171.4285714
Northern Ireland,2021-02-05,233.8624339
Northern Ireland,2021-02-04,215.8730159
Northern Ireland,2021-02-03,258.7301587
Northern Ireland,2021-02-02,242.3280423
Northern Ireland,2021-02-01,280.4232804
Northern Ireland,2021-01-31,211.1111111
Northern Ireland,2021-01-30,212.6984127
Northern Ireland,2021-01-29,281.4814815
Northern Ireland,2021-01-28,275.6613757
Northern Ireland,2021-01-27,327.5132275
Northern Ireland,2021-01-26,336.5079365
Northern Ireland,2021-01-25,335.4497354
Northern Ireland,2021-01-24,237.5661376
Northern Ireland,2021-01-23,249.7354497
Northern Ireland,2021-01-22,325.9259259
Northern Ireland,2021-01-21,401.0582011
Northern Ireland,2021-01-20,415.3439153
Northern Ireland,2021-01-19,456.6137566
Northern Ireland,2021-01-18,484.1269841
Northern Ireland,2021-01-17,324.8677249
Northern Ireland,2021-01-16,367.1957672
Northern Ireland,2021-01-15,449.2063492
Northern Ireland,2021-01-14,485.1851852
Northern Ireland,2021-01-13,560.8465608
Northern Ireland,2021-01-12,592.0634921
Northern Ireland,2021-01-11,670.3703704
Northern Ireland,2021-01-10,467.1957672
Northern Ireland,2021-01-09,529.1005291
Northern Ireland,2021-01-08,655.5555556
Northern Ireland,2021-01-07,656.6137566
Northern Ireland,2021-01-06,808.994709
Northern Ireland,2021-01-05,858.2010582
Northern Ireland,2021-01-04,1061.904762
Northern Ireland,2021-01-03,862.962963
Northern Ireland,2021-01-02,1020.634921
Northern Ireland,2021-01-01,660.8465608
Northern Ireland,2020-12-31,912.1693122
Northern Ireland,2020-12-30,1180.952381
Northern Ireland,2020-12-29,1222.222222
Northern Ireland,2020-12-28,737.037037
Northern Ireland,2020-12-27,577.2486772
Northern Ireland,2020-12-26,379.8941799
Northern Ireland,2020-12-25,180.4232804
Northern Ireland,2020-12-24,330.6878307
Northern Ireland,2020-12-23,427.5132275
Northern Ireland,2020-12-22,383.0687831
Northern Ireland,2020-12-21,382.010582
Northern Ireland,2020-12-20,258.7301587
Northern Ireland,2020-12-19,256.6137566
Northern Ireland,2020-12-18,284.6560847
Northern Ireland,2020-12-17,319.5767196
Northern Ireland,2020-12-16,326.4550265
Northern Ireland,2020-12-15,284.6560847
Northern Ireland,2020-12-14,300
Northern Ireland,2020-12-13,211.6402116
Northern Ireland,2020-12-12,191.005291
Northern Ireland,2020-12-11,275.6613757
Northern Ireland,2020-12-10,265.0793651
Northern Ireland,2020-12-09,240.7407407
Northern Ireland,2020-12-08,248.6772487
Northern Ireland,2020-12-07,248.1481481
Northern Ireland,2020-12-06,194.7089947
Northern Ireland,2020-12-05,210.5820106
Northern Ireland,2020-12-04,229.1005291
Northern Ireland,2020-12-03,262.962963
Northern Ireland,2020-12-02,219.047619
Northern Ireland,2020-12-01,211.6402116
Northern Ireland,2020-11-30,267.7248677
Northern Ireland,2020-11-29,135.978836
Northern Ireland,2020-11-28,181.4814815
Northern Ireland,2020-11-27,175.1322751
Northern Ireland,2020-11-26,178.3068783
Northern Ireland,2020-11-25,221.1640212
Northern Ireland,2020-11-24,180.4232804
Northern Ireland,2020-11-23,198.9417989
Northern Ireland,2020-11-22,144.973545
Northern Ireland,2020-11-21,155.026455
Northern Ireland,2020-11-20,196.8253968
Northern Ireland,2020-11-19,185.1851852
Northern Ireland,2020-11-18,232.2751323
Northern Ireland,2020-11-17,303.1746032
Northern Ireland,2020-11-16,306.8783069
Northern Ireland,2020-11-15,197.3544974
Northern Ireland,2020-11-14,223.2804233
Northern Ireland,2020-11-13,250.7936508
Northern Ireland,2020-11-12,291.5343915
Northern Ireland,2020-11-11,322.2222222
Northern Ireland,2020-11-10,369.3121693
Northern Ireland,2020-11-09,342.8571429
Northern Ireland,2020-11-08,223.8095238
Northern Ireland,2020-11-07,241.7989418
Northern Ireland,2020-11-06,257.6719577
Northern Ireland,2020-11-05,297.8835979
Northern Ireland,2020-11-04,313.7566138
Northern Ireland,2020-11-03,347.0899471
Northern Ireland,2020-11-02,369.3121693
Northern Ireland,2020-11-01,246.031746
Northern Ireland,2020-10-31,272.4867725
Northern Ireland,2020-10-30,365.6084656
Northern Ireland,2020-10-29,367.1957672
Northern Ireland,2020-10-28,399.4708995
Northern Ireland,2020-10-27,434.9206349
Northern Ireland,2020-10-26,471.4285714
Northern Ireland,2020-10-25,360.8465608
Northern Ireland,2020-10-24,392.5925926
Northern Ireland,2020-10-23,468.2539683
Northern Ireland,2020-10-22,570.8994709
Northern Ireland,2020-10-21,589.9470899
Northern Ireland,2020-10-20,562.962963
Northern Ireland,2020-10-19,551.3227513
Northern Ireland,2020-10-18,419.5767196
Northern Ireland,2020-10-17,445.5026455
Northern Ireland,2020-10-16,514.2857143
Northern Ireland,2020-10-15,587.3015873
Northern Ireland,2020-10-14,563.4920635
Northern Ireland,2020-10-13,574.6031746
Northern Ireland,2020-10-12,585.7142857
Northern Ireland,2020-10-11,440.7407407
Northern Ireland,2020-10-10,424.3386243
Northern Ireland,2020-10-09,446.031746
Northern Ireland,2020-10-08,520.1058201
Northern Ireland,2020-10-07,546.5608466
Northern Ireland,2020-10-06,425.9259259
Northern Ireland,2020-10-05,376.1904762
Northern Ireland,2020-10-04,325.3968254
Northern Ireland,2020-10-03,329.6296296
Northern Ireland,2020-10-02,369.3121693
Northern Ireland,2020-10-01,254.4973545
Northern Ireland,2020-09-30,340.2116402
Northern Ireland,2020-09-29,205.8201058
Northern Ireland,2020-09-28,156.6137566
Northern Ireland,2020-09-27,143.9153439
Northern Ireland,2020-09-26,141.7989418
Northern Ireland,2020-09-25,129.1005291
Northern Ireland,2020-09-24,149.7354497
Northern Ireland,2020-09-23,115.8730159
Northern Ireland,2020-09-22,89.94708995
Northern Ireland,2020-09-21,71.42857143
Northern Ireland,2020-09-20,65.60846561
Northern Ireland,2020-09-19,85.18518519
Northern Ireland,2020-09-18,88.88888889
Northern Ireland,2020-09-17,88.88888889
Northern Ireland,2020-09-16,70.37037037
Northern Ireland,2020-09-15,56.61375661
Northern Ireland,2020-09-14,62.96296296
Northern Ireland,2020-09-13,48.14814815
Northern Ireland,2020-09-12,56.08465608
Northern Ireland,2020-09-11,38.62433862
Northern Ireland,2020-09-10,41.7989418
Northern Ireland,2020-09-09,51.85185185
Northern Ireland,2020-09-08,29.62962963
Northern Ireland,2020-09-07,38.0952381
Northern Ireland,2020-09-06,55.02645503
Northern Ireland,2020-09-05,47.61904762
Northern Ireland,2020-09-04,68.78306878
Northern Ireland,2020-09-03,56.08465608
Northern Ireland,2020-09-02,47.61904762
Northern Ireland,2020-09-01,34.39153439
Northern Ireland,2020-08-31,28.57142857
Northern Ireland,2020-08-30,18.51851852
Northern Ireland,2020-08-29,22.75132275
Northern Ireland,2020-08-28,45.5026455
Northern Ireland,2020-08-27,41.26984127
Northern Ireland,2020-08-26,37.56613757
Northern Ireland,2020-08-25,34.39153439
Northern Ireland,2020-08-24,23.80952381
Northern Ireland,2020-08-23,27.51322751
Northern Ireland,2020-08-22,22.22222222
Northern Ireland,2020-08-21,42.32804233
Northern Ireland,2020-08-20,37.56613757
Northern Ireland,2020-08-19,21.69312169
Northern Ireland,2020-08-18,22.75132275
Northern Ireland,2020-08-17,28.04232804
Northern Ireland,2020-08-16,10.58201058
Northern Ireland,2020-08-15,11.64021164
Northern Ireland,2020-08-14,30.15873016
Northern Ireland,2020-08-13,26.98412698
Northern Ireland,2020-08-12,20.63492063
Northern Ireland,2020-08-11,20.10582011
Northern Ireland,2020-08-10,23.28042328
Northern Ireland,2020-08-09,13.22751323
Northern Ireland,2020-08-08,14.28571429
Northern Ireland,2020-08-07,8.465608466
Northern Ireland,2020-08-06,8.994708995
Northern Ireland,2020-08-05,15.34391534
Northern Ireland,2020-08-04,8.994708995
Northern Ireland,2020-08-03,9.523809524
Northern Ireland,2020-08-02,4.761904762
Northern Ireland,2020-08-01,5.291005291
Northern Ireland,2020-07-31,6.878306878
Northern Ireland,2020-07-30,5.291005291
Northern Ireland,2020-07-29,5.82010582
Northern Ireland,2020-07-28,6.878306878
Northern Ireland,2020-07-27,6.349206349
Northern Ireland,2020-07-26,0.529100529
Northern Ireland,2020-07-25,2.116402116
Northern Ireland,2020-07-24,7.407407407
Northern Ireland,2020-07-23,6.349206349
Northern Ireland,2020-07-22,4.232804233
Northern Ireland,2020-07-21,6.349206349
Northern Ireland,2020-07-20,1.587301587
Northern Ireland,2020-07-19,1.587301587
Northern Ireland,2020-07-18,3.703703704
Northern Ireland,2020-07-17,4.232804233
Northern Ireland,2020-07-16,10.05291005
Northern Ireland,2020-07-15,7.936507937
Northern Ireland,2020-07-14,3.703703704
Northern Ireland,2020-07-13,1.587301587
Northern Ireland,2020-07-12,2.116402116
Northern Ireland,2020-07-11,3.174603175
Northern Ireland,2020-07-10,2.116402116
Northern Ireland,2020-07-09,2.645502646
Northern Ireland,2020-07-08,3.174603175
Northern Ireland,2020-07-07,2.645502646
Northern Ireland,2020-07-06,4.232804233
Northern Ireland,2020-07-05,1.058201058
Northern Ireland,2020-07-04,0.529100529
Northern Ireland,2020-07-03,4.232804233
Northern Ireland,2020-07-02,1.587301587
Northern Ireland,2020-07-01,2.116402116
Northern Ireland,2020-06-30,1.058201058
Northern Ireland,2020-06-29,2.116402116
Northern Ireland,2020-06-28,2.645502646
Northern Ireland,2020-06-27,2.116402116
Northern Ireland,2020-06-26,1.587301587
Northern Ireland,2020-06-25,2.645502646
Northern Ireland,2020-06-24,2.116402116
Northern Ireland,2020-06-23,4.232804233
Northern Ireland,2020-06-22,2.116402116
Northern Ireland,2020-06-21,1.587301587
Northern Ireland,2020-06-20,2.645502646
Northern Ireland,2020-06-19,6.349206349
Northern Ireland,2020-06-18,3.703703704
Northern Ireland,2020-06-17,2.645502646
Northern Ireland,2020-06-16,5.82010582
Northern Ireland,2020-06-15,10.05291005
Northern Ireland,2020-06-14,4.232804233
Northern Ireland,2020-06-13,5.291005291
Northern Ireland,2020-06-12,5.291005291
Northern Ireland,2020-06-11,5.291005291
Northern Ireland,2020-06-10,8.465608466
Northern Ireland,2020-06-09,5.82010582
Northern Ireland,2020-06-08,7.407407407
Northern Ireland,2020-06-07,2.645502646
Northern Ireland,2020-06-06,4.232804233
Northern Ireland,2020-06-05,12.6984127
Northern Ireland,2020-06-04,5.82010582
Northern Ireland,2020-06-03,5.82010582
Northern Ireland,2020-06-02,11.11111111
Northern Ireland,2020-06-01,12.6984127
Northern Ireland,2020-05-31,13.75661376
Northern Ireland,2020-05-30,6.878306878
Northern Ireland,2020-05-29,10.58201058
Northern Ireland,2020-05-28,14.81481481
Northern Ireland,2020-05-27,17.46031746
Northern Ireland,2020-05-26,14.28571429
Northern Ireland,2020-05-25,20.63492063
Northern Ireland,2020-05-24,15.87301587
Northern Ireland,2020-05-23,28.57142857
Northern Ireland,2020-05-22,17.46031746
Northern Ireland,2020-05-21,29.62962963
Northern Ireland,2020-05-20,39.15343915
Northern Ireland,2020-05-19,38.0952381
Northern Ireland,2020-05-18,32.8042328
Northern Ireland,2020-05-17,19.04761905
Northern Ireland,2020-05-16,21.16402116
Northern Ireland,2020-05-15,34.92063492
Northern Ireland,2020-05-14,39.15343915
Northern Ireland,2020-05-13,39.68253968
Northern Ireland,2020-05-12,48.14814815
Northern Ireland,2020-05-11,39.68253968
Northern Ireland,2020-05-10,32.27513228
Northern Ireland,2020-05-09,28.57142857
Northern Ireland,2020-05-08,38.0952381
Northern Ireland,2020-05-07,51.32275132
Northern Ireland,2020-05-06,42.32804233
Northern Ireland,2020-05-05,38.62433862
Northern Ireland,2020-05-04,39.15343915
Northern Ireland,2020-05-03,28.57142857
Northern Ireland,2020-05-02,47.61904762
Northern Ireland,2020-05-01,51.32275132
Northern Ireland,2020-04-30,60.84656085
Northern Ireland,2020-04-29,48.14814815
Northern Ireland,2020-04-28,39.15343915
Northern Ireland,2020-04-27,37.56613757
Northern Ireland,2020-04-26,23.28042328
Northern Ireland,2020-04-25,27.51322751
Northern Ireland,2020-04-24,43.91534392
Northern Ireland,2020-04-23,38.0952381
Northern Ireland,2020-04-22,50.79365079
Northern Ireland,2020-04-21,69.31216931
Northern Ireland,2020-04-20,59.25925926
Northern Ireland,2020-04-19,21.69312169
Northern Ireland,2020-04-18,44.97354497
Northern Ireland,2020-04-17,82.01058201
Northern Ireland,2020-04-16,73.01587302
Northern Ireland,2020-04-15,70.37037037
Northern Ireland,2020-04-14,50.26455026
