date,value,note
2021-02-01,53.08,electricity
2021-02-08,55.14,
2021-02-15,53.84,
2021-02-22,53.68,
2021-03-01,54.22,
2021-03-08,56.83,
2021-03-15,57.58,
2021-03-22,58.31,
2021-03-29,57.79,
2021-04-05,58.67,
2021-04-12,60.41,
2021-04-19,61.72,
2021-04-26,64.47,
2021-05-03,67.14,
2021-05-10,71.64,
2021-05-17,69.25,
2021-05-24,70.59,
2021-05-31,69.76,
2021-06-07,71.97,
2021-06-14,71.52,
2021-06-21,76.18,
2021-06-28,81.1,
2021-07-05,80.1,
2021-07-12,78.95,
2021-07-19,79.48,
2021-07-26,82.98,
2021-08-02,73.68,
2021-08-09,80.26,
2021-08-16,81.17,
2021-08-23,82,
2021-08-30,85.5,
2021-09-06,89.32,
2021-09-13,92.8,
2021-09-20,97.55,
2021-09-27,116.96,
2021-10-04,117.81,
2021-10-11,113.16,
2021-10-18,119.12,
2021-10-25,112.09,
2021-11-01,106.87,
2021-11-08,106.28,
2021-11-15,113.03,
2021-11-22,119.1,
2021-11-29,126.16,
2021-12-06,154.15,
2021-12-13,176.11,
2021-12-20,240.58,
2021-12-27,175.52,
2022-01-03,191.95,
2022-01-10,170.01,
2022-01-17,159.32,
2022-01-24,195.46,
2022-01-31,154.81,
2022-02-07,160.95,
2022-02-14,148.48,
2022-02-21,172.14,
2022-02-28,213.68,
2022-03-07,199.92,
2022-03-14,178.34,
2022-03-21,179.07,
2022-03-28,192.45,
2022-04-04,190.82,
2022-04-11,195.28,
2022-04-18,197.84,
2022-04-25,195.12,
2022-05-02,197.65,
2022-05-09,201.17,
2022-05-16,202.84,
2022-05-23,198.32,
2022-05-30,213.07,
2022-06-06,210.15,
2022-06-13,224.54,
2022-06-20,245.55,
2022-06-27,257.99,
2022-07-04,318.67,
2022-07-11,344.59,
2022-07-18,356.59,
2022-07-25,413.59,