Date,Value,Detail
1750,52.07,Average hours worked per week
1751,51.99,
1752,51.91,
1753,51.84,
1754,51.76,
1755,51.68,
1756,51.61,
1757,51.53,
1758,51.45,
1759,51.38,
1760,51.30,
1761,51.63,
1762,51.96,
1763,52.29,
1764,52.63,
1765,52.97,
1766,53.31,
1767,53.65,
1768,54.00,
1769,54.34,
1770,54.69,
1771,55.04,
1772,55.40,
1773,55.75,
1774,56.11,
1775,56.47,
1776,56.83,
1777,57.20,
1778,57.57,
1779,57.94,
1780,58.31,
1781,58.68,
1782,59.06,
1783,59.44,
1784,59.82,
1785,60.20,
1786,60.59,
1787,60.98,
1788,61.37,
1789,61.77,
1790,62.16,
1791,62.56,
1792,62.96,
1793,63.37,
1794,63.78,
1795,64.19,
1796,64.60,
1797,65.01,
1798,65.43,
1799,65.85,
1800,66.27,
1801,66.29,
1802,66.31,
1803,66.33,
1804,66.35,
1805,66.37,
1806,66.39,
1807,66.40,
1808,66.42,
1809,66.44,
1810,66.46,
1811,66.48,
1812,66.50,
1813,66.52,
1814,66.53,
1815,66.55,
1816,66.57,
1817,66.59,
1818,66.61,
1819,66.63,
1820,66.65,
1821,66.66,
1822,66.68,
1823,66.70,
1824,66.72,
1825,66.74,
1826,66.76,
1827,66.78,
1828,66.79,
1829,66.81,
1830,66.83,
1831,66.70,
1832,66.56,
1833,66.43,
1834,66.30,
1835,66.16,
1836,66.03,
1837,65.90,
1838,65.77,
1839,65.63,
1840,65.50,
1841,65.37,
1842,65.24,
1843,65.11,
1844,64.98,
1845,64.85,
1846,64.72,
1847,64.59,
1848,64.46,
1849,64.33,
1850,64.20,
1851,64.07,
1852,63.94,
1853,63.81,
1854,63.68,
1855,63.55,
1856,63.43,
1857,63.31,
1858,63.18,
1859,63.06,
1860,62.94,
1861,62.72,
1862,62.46,
1863,62.46,
1864,62.40,
1865,62.33,
1866,61.93,
1867,61.65,
1868,61.26,
1869,61.22,
1870,61.22,
1871,60.94,
1872,59.75,
1873,58.40,
1874,57.73,
1875,57.51,
1876,57.49,
1877,57.34,
1878,57.28,
1879,57.30,
1880,57.71,
1881,57.58,
1882,57.59,
1883,57.58,
1884,57.56,
1885,57.57,
1886,57.58,
1887,57.59,
1888,57.60,
1889,57.60,
1890,57.61,
1891,57.35,
1892,57.28,
1893,56.93,
1894,57.09,
1895,57.14,
1896,57.01,
1897,56.88,
1898,56.32,
1899,56.77,
1900,56.73,
1901,56.72,
1902,56.59,
1903,56.61,
1904,56.63,
1905,56.62,
1906,56.60,
1907,56.58,
1908,56.42,
1909,56.32,
1910,56.26,
1911,56.26,
1912,55.95,
1913,55.92,
1914,55.75,
1915,55.76,
1916,55.71,
1917,55.64,
1918,55.59,
1919,50.34,
1920,48.34,
1921,46.26,
1922,46.72,
1923,46.21,
1924,45.62,
1925,46.08,
1926,45.65,
1927,46.99,
1928,46.91,
1929,46.67,
1930,46.51,
1931,46.48,
1932,46.44,
1933,46.40,
1934,46.47,
1935,46.75,
1936,47.00,
1937,47.20,
1938,45.14,
1939,46.04,
1940,46.94,
1941,46.76,
1942,46.58,
1943,46.40,
1944,46.21,
1945,44.51,
1946,43.77,
1947,42.31,
1948,41.94,
1949,41.75,
1950,42.00,
1951,42.17,
1952,41.56,
1953,41.63,
1954,41.71,
1955,41.68,
1956,41.42,
1957,41.01,
1958,40.43,
1959,40.62,
1960,40.45,
1961,39.75,
1962,39.02,
1963,38.86,
1964,38.86,
1965,38.42,
1966,37.34,
1967,37.11,
1968,36.97,
1969,36.78,
1970,35.98,
1971,35.20,
1972,35.60,
1973,35.77,
1974,35.49,
1975,34.89,
1976,34.75,
1977,34.94,
1978,34.96,
1979,34.91,
1980,34.33,
1981,33.64,
1982,33.57,
1983,33.45,
1984,33.57,
1985,33.62,
1986,33.51,
1987,33.61,
1988,33.74,
1989,33.82,
1990,33.58,
1991,33.09,
1992,32.97,
1993,32.89,
1994,33.09,
1995,33.13,
1996,33.12,
1997,33.10,
1998,33.02,
1999,32.86,
2000,32.56,
2001,32.62,
2002,32.28,
2003,32.10,
2004,32.05,
2005,32.11,
2006,32.00,
2007,32.04,
2008,31.93,
2009,31.51,
2010,31.60,
2011,31.56,
2012,31.83,
2013,32.04,
2014,32.16,
2015,32.10,
2016,32.08,