date,value
2022-07-21,1.1941
2022-07-20,1.1969
2022-07-19,1.1995
2022-07-18,1.1954
2022-07-15,1.1852
2022-07-14,1.1822
2022-07-13,1.1889
2022-07-12,1.1885
2022-07-11,1.1889
2022-07-08,1.2027
2022-07-07,1.2021
2022-07-06,1.193
2022-07-05,1.1957
2022-07-04,1.2105
2022-07-01,1.2094
2022-06-30,1.2175
2022-06-29,1.2125
2022-06-28,1.2182
2022-06-27,1.2264
2022-06-24,1.2262
2022-06-23,1.226
2022-06-22,1.2266
2022-06-21,1.2272
2022-06-20,1.225
2022-06-17,1.2224
2022-06-16,1.2351
2022-06-15,1.2178
2022-06-14,1.1993
2022-06-13,1.2134
2022-06-10,1.2314
2022-06-09,1.249
2022-06-08,1.2539
2022-06-07,1.2588
2022-06-06,1.253
2022-06-03,1.2485
2022-06-02,1.2576
2022-06-01,1.2482
2022-05-31,1.26
2022-05-30,1.265
2022-05-27,1.2616
2022-05-26,1.2594
2022-05-25,1.2564
2022-05-24,1.2529
2022-05-23,1.2588
2022-05-20,1.2487
2022-05-19,1.246
2022-05-18,1.2338
2022-05-17,1.249
2022-05-16,1.2317
2022-05-13,1.2261
2022-05-12,1.2199
2022-05-11,1.225
2022-05-10,1.2322
2022-05-09,1.2331
2022-05-06,1.2337
2022-05-05,1.2364
2022-05-04,1.2621
2022-05-03,1.2498
2022-05-02,1.2491
2022-04-29,1.2571
2022-04-28,1.2456
2022-04-27,1.2548
2022-04-26,1.2582
2022-04-25,1.274
2022-04-22,1.2837
2022-04-21,1.3028
2022-04-20,1.3066
2022-04-19,1.2996
2022-04-18,1.3008
2022-04-15,1.3058
2022-04-14,1.3065
2022-04-13,1.3115
2022-04-12,1.2997
2022-04-11,1.3029
2022-04-08,1.3031
2022-04-07,1.3073
2022-04-06,1.3068
2022-04-05,1.3068
2022-04-04,1.3113
2022-04-01,1.3112
2022-03-31,1.3133
2022-03-30,1.3131
2022-03-29,1.3084
2022-03-28,1.3084
2022-03-25,1.3188
2022-03-24,1.3183
2022-03-23,1.3203
2022-03-22,1.3263
2022-03-21,1.3165
2022-03-18,1.318
2022-03-17,1.3146
2022-03-16,1.3145
2022-03-15,1.3038
2022-03-14,1.3
2022-03-11,1.3036
2022-03-10,1.3083
2022-03-09,1.3179
2022-03-08,1.3103
2022-03-07,1.3102
2022-03-04,1.3225
2022-03-03,1.3346
2022-03-02,1.3403
2022-03-01,1.3321
2022-02-28,1.3419
2022-02-25,1.3405
2022-02-24,1.3375
2022-02-23,1.3542
2022-02-22,1.3582
2022-02-21,1.3598
2022-02-18,1.359
2022-02-17,1.3614
2022-02-16,1.3583
2022-02-15,1.3533
2022-02-14,1.3526
2022-02-11,1.356
2022-02-10,1.3555
2022-02-09,1.3532
2022-02-08,1.3541
2022-02-07,1.3534
2022-02-04,1.3529
2022-02-03,1.3595
2022-02-02,1.3577
2022-02-01,1.352
2022-01-31,1.3445
2022-01-28,1.3404
2022-01-27,1.3385
2022-01-26,1.3461
2022-01-25,1.3496
2022-01-24,1.3485
2022-01-21,1.3554
2022-01-20,1.3595
2022-01-19,1.3606
2022-01-18,1.3594
2022-01-17,1.3645
2022-01-14,1.3673
2022-01-13,1.3705
2022-01-12,1.3701
2022-01-11,1.3635
2022-01-10,1.3575
2022-01-07,1.3585
2022-01-06,1.3528
2022-01-05,1.3554
2022-01-04,1.3532
2022-01-03,1.3471